Dewey,Title,Subject,CheckoutDate,CheckoutCount,DaysCheckedOut,Topic,Contribution,TopicTerms,,,,,,,,
979,Palouse country an essay in photographs,Palouse River Valley Idaho and Wash Pictorial works,38462,24,315,6,0.222,river valley story roman italian mexico egypt collection fishes identification,,,,,,,,
760,Northwest Coast Indian graphics an introduction to silk screen prints,Serigraphy,38468,46,1235,18,0.286,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
380,Banquet and event resource guide,Convention facilities Washington State Puget Sound Region Directories,38474,2,309,31,0.455,washington state sound puget region resources mines plan high king,,,,,,,,
221,Tanakh Tanakh a new translation of the Holy Scriptures according to the traditional Hebrew text,Bible Translating,38475,136,311,30,0.5,mass air human town de practice power anatomy cars spanish,,,,,,,,
745,Millers international antiques price guide,Antiques Catalogs Periodicals,38476,14,320,10,0.667,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
759,Raphael,Raphael 1483 1520,38480,8,467,37,0.5,history industry military food aircraft technology money events man franklin,,,,,,,,
347,Illustrated great decisions of the Supreme Court,Constitutional law United States Cases,38480,86,247,12,0.625,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
796,Second wind the memoirs of an opinionated man,Russell Bill 1934,38481,24,612,37,0.6,history industry military food aircraft technology money events man franklin,,,,,,,,
363,FBI a comprehensive reference guide,United States Federal Bureau of Investigation,38482,54,937,12,0.25,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
571,Comparative anatomy of the vertebrates,Vertebrates Anatomy,38483,408,259,28,0.667,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
11,Books for the teen age,Childrens literature Bibliography Periodicals,38489,96,514,18,0.333,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
709,Gardners art through the ages,Art History,38493,53,226,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
704,Salish Indian art from the J R Simplot collection,Simplot J R Art collections Exhibitions,38495,80,594,10,0.714,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
658,Valuing small businesses and professional practices,Small business Valuation,38495,80,725,2,0.667,business reference modern church construction management small industrial practical boats,,,,,,,,
910,atlas of shipwrecks treasure the history location and treasures of ships lost at sea,Shipwrecks,38496,58,252,7,0.333,music marine criticism ships van methods division corps trail theory,,,,,,,,
914,Above Paris a new collection of aerial photographs of Paris France,Paris France Pictorial works,38498,28,225,5,0.444,years national complete france park french color furniture hundred mount,,,,,,,,
622,Gold mining in Washington State yesterday and today pioneer stories Hiram Okanogan Smith the Ballard brothers,Gold mines and mining Washington State History,38499,38,249,31,0.294,washington state sound puget region resources mines plan high king,,,,,,,,
581,Natural vegetation of Oregon and Washington,Plant ecology Oregon,38508,28,420,13,0.8,pacific northwest historical coast columbia oregon project names plants geography,,,,,,,,
917,Standing up country the canyon lands of Utah and Arizona,Colorado River Valley Colo Mexico Pictorial works,38514,14,676,6,0.333,river valley story roman italian mexico egypt collection fishes identification,,,,,,,,
629,BMW a celebration,BMW motorcycle History,38515,9,624,25,0.25,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
912,Washington atlas gazetteer detailed topographic maps,Washington State Guidebooks,38516,1170,330,31,0.429,washington state sound puget region resources mines plan high king,,,,,,,,
533,Graf Zeppelin the adventures of an aerial globetrotter,Graf Zeppelin Airship,38517,18,278,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
912,Washington road recreation atlas,Outdoor recreation Washington State Maps,38520,540,311,31,0.714,washington state sound puget region resources mines plan high king,,,,,,,,
570,dictionary of biology,Biology Dictionaries,38523,20,456,36,0.333,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
668,Manual for the essence industry comprising the most modern methods for making all kinds of essences for liquors brandies liqueurs and all alcoholic drinks fruit juices fruit wines and jams Also manufacturing mineral waters essences of fruit,Beverages,38527,3,223,37,0.208,history industry military food aircraft technology money events man franklin,,,,,,,,
724,OMA Rem Koolhaas architecture postcards 9 built projects 1987 97 cartes postales 9 projets construits,Office for Metropolitan Architecture,38532,22,245,4,0.25,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
615,Earl Mindells herb bible,Herbs Therapeutic use,38532,22,242,35,0.25,design bible gold water railroad coins ages roads car model,,,,,,,,
641,Fancy pantry,Cookery,38532,68,349,29,0.5,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
909,Middle Ages,Middle Ages Encyclopedias Juvenile,38534,16,483,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
704,Sacred arts of Haitian vodou,Art Haitian Exhibitions,38535,12,215,33,0.6,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
25,genealogists virtual library full text books on the World Wide Web,Genealogy Bibliography,38539,6,496,17,0.222,books encyclopedia international western laws society system transport general relations,,,,,,,,
629,Toyota pickup truck service manual including diesel and 4wd 1978 1979 1980 1981 1982 1983 1984,Toyota trucks Maintenance and repair Handbooks manuals etc,38541,7,215,25,0.833,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
960,African achievements leaders civilizations and cultures of ancient Africa,Africa Civilization,38541,11,238,34,0.286,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
720,Ghosts along the Mississippi an essay in the poetic interpretation of Louisianas plantation architecture,Architecture Domestic Louisiana,38541,12,276,29,0.2,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
629,Used cars trucks buyers guide,Used cars Purchasing Periodicals,38542,168,250,30,0.333,mass air human town de practice power anatomy cars spanish,,,,,,,,
861,Poets of Nicaragua a bilingual anthology 1918 1979,Nicaraguan poetry 20th century Translations into English,38542,4,529,36,0.25,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
595,moth book a popular guide to a knowledge of the moths of North America,Moths North America,38544,4,328,29,0.444,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
637,Cheese and fermented milk foods,Dairy products,38544,15,176,37,0.2,history industry military food aircraft technology money events man franklin,,,,,,,,
731,Stories in stone a field guide to cemetery symbolism and iconography,Symbolism in art,38544,242,229,10,0.375,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
629,Chiltons Toyota trucks 1970 88 repair manual,Toyota trucks Maintenance and repair Handbooks manuals etc,38544,22,237,25,1,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
639,immigrant oyster Ostrea gigas now known as the Pacific oyster,Oysters,38546,21,239,13,0.4,pacific northwest historical coast columbia oregon project names plants geography,,,,,,,,
582,In search of flowers of the Amazon forests diaries of an English artist reveal the beauty of the vanishing rainforest,Amazon River Valley Description and travel,38546,150,230,11,0.2,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
651,Merriam Websters secretarial handbook,Office practice Handbooks manuals etc,38546,30,200,25,0.333,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
427,NTCs dictionary of American slang and colloquial expressions,Americanisms Dictionaries,38547,88,231,36,0.167,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
133,illustrated guide to Wicca,Witchcraft,38551,34,192,8,0.5,history seattle wash people sources building natural heritage historic community,,,,,,,,
363,dry years prohibition and social change in Washington,Prohibition Washington State History 20th century,38551,126,178,31,0.333,washington state sound puget region resources mines plan high king,,,,,,,,
917,Tenting to night a chronicle of sport and adventure in Glacier Park and the Cascade Mountains,Cascade Range,38551,26,278,29,0.2,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
917,Desolation Sound and the Discovery Islands,British Columbia Guidebooks,38552,80,195,11,0.4,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
82,Toasts over 1500 of the best toasts sentiments blessings and graces,Toasts,38556,38,305,33,0.4,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
781,Goldmine record album price guide,Sound recordings Prices,38556,48,317,10,0.5,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
615,alternative pharmacy,Alternative medicine Encyclopedias,38563,8,320,34,0.5,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
133,Beyond supernature a new natural history of the supernatural,Occultism,38564,18,157,8,0.5,history seattle wash people sources building natural heritage historic community,,,,,,,,
917,Milepost,Automobile travel Alaska Guidebooks,38565,160,302,11,1,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
334,PCC progress report developments in consumer and worker democracy,Puget Consumers Co op,38565,4,1075,22,0.25,report south europe equipment st study mental cultural planning supplies,,,,,,,,
818,verse by the side of the road the story of the Burma Shave signs and jingles,Advertising Cosmetics,38565,60,302,8,0.222,history seattle wash people sources building natural heritage historic community,,,,,,,,
658,How to start a business in Washington,New business enterprises Washington State Management,38565,4682,153,2,0.5,business reference modern church construction management small industrial practical boats,,,,,,,,
493,Hamid Muudees Oromo dictionary English Oromo,English language Dictionaries Oromo,38567,128,187,36,0.625,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
635,Perennials the definitive reference with over 2500 photographs,Perennials,38567,110,197,18,0.25,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
979,Early history of Thurston County Washington together with biographies and reminiscences of those identified with pioneer days,Thurston County Wash History,38576,64,333,37,0.25,history industry military food aircraft technology money events man franklin,,,,,,,,
979,Tribute a guide to Seattles public parks and buildings named for black people with brief biographical sketches,Seattle Wash Biography,38576,69,153,9,0.231,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
817,innocents abroad or The new pilgrims progress being some account of the steamship Quaker Citys pleasure excursion to Europe and the Holy Land with descriptions of countries nations incidents and adventures as they appeared to the autho,Voyages and travels,38577,9,240,35,0.1,design bible gold water railroad coins ages roads car model,,,,,,,,
591,Pictorial anatomy of the frog,Frogs Anatomy,38579,15,141,35,0.333,design bible gold water railroad coins ages roads car model,,,,,,,,
359,Janes battleships of the 20th century,Battleships History 20th century,38583,30,223,18,0.5,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
663,Grapes into wine a guide to winemaking in America,Wine and wine making Amateurs manuals,38584,5,281,27,0.444,history early making wine kentucky white italy study americas physics,,,,,,,,
387,Pan Am an aviation legend,Pan American World Airways inc History,38587,54,246,18,0.286,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
808,Chicago manual of style,Authorship Style manuals,38587,5576,135,24,0.5,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
639,Longline purse seine safety handbook,Longlining Fisheries Safety measures Handbooks manuals etc,38594,4,433,2,0.444,business reference modern church construction management small industrial practical boats,,,,,,,,
828,wit and humor of Oscar Wilde,Epigrams,38594,18,314,33,0.25,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
70,Writers market,Authorship Marketing,38595,30030,125,35,0.5,design bible gold water railroad coins ages roads car model,,,,,,,,
70,Poets market,American periodicals Directories,38597,1850,131,20,0.5,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
796,Sunday afternoons at Garfield Park Seattles Black baseball teams 1911 1951,Baseball Washington State Seattle History,38598,42,180,31,0.182,washington state sound puget region resources mines plan high king,,,,,,,,
616,Current medical diagnosis treatment,Therapeutics Periodicals,38601,4896,119,14,0.5,periodicals japanese japan james notes ship index information symbols psychology,,,,,,,,
782,6 plays,Musicals Librettos,38602,29,120,27,0.5,history early making wine kentucky white italy study americas physics,,,,,,,,
387,Alaska Airlines story,Alaska Airlines History,38605,40,137,11,0.5,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
636,Atlas of dog breeds of the world,Dog breeds,38605,256,116,32,0.6,war world civil photography operations ii artistic naval german aerial,,,,,,,,
382,Chinas customs statistics yearbook,Customs administration China Statistics Periodicals,38607,154,143,1,0.286,science record genealogical statistics airplanes christian reading text chronology commercial,,,,,,,,
623,Ashley book of knots,Knots and splices,38608,184,133,30,0.667,mass air human town de practice power anatomy cars spanish,,,,,,,,
929,Genealogies of the Eseck Potter Laurence Barber Henry Zimmer and related families and their descendants in the United States to the present generation a compendium of family pictures ancient history and vital statistics of 1000 people,Potter family,38608,3,143,15,0.217,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
629,Thames freighter and 800 passenger vehicles repair manual,Ford trucks Maintenance and repair Handbooks manuals etc,38608,1,143,25,0.8,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
683,broomhandle pistol 1896 1936,Mauser pistol,38609,1,119,34,0.5,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
641,Africa News cookbook African cooking for Western kitchens,Cookery African,38609,5,195,24,0.429,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
320,Oxford guide to the United States government,United States Politics and government Encyclopedias,38609,14,138,12,0.375,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
16,New York times guide to the best childrens videos,Video recordings for children Catalogs,38610,32,117,10,0.25,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
940,Consolidated B 24 Liberator,B 24 bomber,38611,6,139,16,0.5,great book medicine british birds catalogue lake medical wood exhibitions,,,,,,,,
623,Nikola Teslas teleforce telegeodynamics proposals,Seismic prospecting,38612,42,150,29,0.4,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
639,Complete encyclopedia of the saltwater aquarium,Marine aquarium fishes,38614,36,107,8,0.4,history seattle wash people sources building natural heritage historic community,,,,,,,,
940,Corps of Engineers the war against Germany,World War 1939 1945 Campaigns Africa North,38614,4,137,32,0.5,war world civil photography operations ii artistic naval german aerial,,,,,,,,
12,Register of papers in the Manuscript Division of the Library of Congress,Library of Congress Manuscript Division Catalogs,38615,12,132,9,0.5,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
650,How to find a good job in Seattle,Business enterprises Washington State Seattle Directories,38615,248,109,8,0.4,history seattle wash people sources building natural heritage historic community,,,,,,,,
551,complete weather resource,Climatology,38615,93,105,36,0.5,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
378,Financial aid for African Americans,Student aid United States Directories,38616,1776,111,20,0.429,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
681,Mastering ten key calculators electronic and mechanical,Computers,38616,42,145,3,0.4,works pictorial popular engineering code handbook motion clocks watches pictures,,,,,,,,
917,Our national parks Americas spectacular wilderness heritage,National parks and reserves United States,38618,7,177,13,0.2,pacific northwest historical coast columbia oregon project names plants geography,,,,,,,,
720,Shaping Seattle architecture a historical guide to the architects,Architects Washington State Seattle Biography,38619,1134,105,4,0.333,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
709,Masterpieces of Persian art,Art Iranian,38620,6,891,10,0.5,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
378,Scholarships grants prizes,Student aid United States Directories,38620,504,141,20,0.5,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
533,Military ballooning 1862 three papers reprinted from the Professional Papers of the Corps of Royal Engineers vol 12 1863,Balloons,38621,2,130,9,0.222,bibliography biography women revolution public fiction library finance buildings congress,,,,,,,,
332,treatise on money,Money,38621,40,150,37,1,history industry military food aircraft technology money events man franklin,,,,,,,,
914,Saint Pauls Cathedral in wartime 1939 1945,St Pauls Cathedral London England,38622,8,125,23,0.286,history england britain union costume ireland fashion london germany soviet,,,,,,,,
979,Indians of the Pacific Northwest a history,Indians of North America Northwest Pacific History,38622,222,131,13,0.444,pacific northwest historical coast columbia oregon project names plants geography,,,,,,,,
978,Incident at Bitter Creek the story of the Rock Springs Chinese massacre,Chinese Americans Wyoming Rock Springs History 19th century,38622,9,635,11,0.214,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
919,native culture of the Marianas islands,Chamorro Micronesian people,38622,2,120,8,0.4,history seattle wash people sources building natural heritage historic community,,,,,,,,
929,Colcord genealogy Descendants of Edward Colcord of New Hampshire 1630 1908,Colcord family,38622,1,129,15,0.5,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
796,Covering the spread how to bet pro football,Sports betting,38623,12,270,36,0.333,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
920,Native American women a biographical dictionary,Indian women North America Biography Dictionaries,38625,4,508,29,0.333,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
914,National trust book of long walks in England Scotland and Wales,Great Britain Description and travel,38625,62,101,23,0.3,history england britain union costume ireland fashion london germany soviet,,,,,,,,
280,These also believe a study of modern American cults minority religious movements,Sects United States,38625,1,126,21,0.3,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
338,Flight Test Hangar Boeing Airplane Company Seattle Washington,Boeing Aircraft Company,38625,2,307,24,0.222,life company pennsylvania west cookery cooking trade pioneer middle southern,,,,,,,,
780,World music the rough guide,Music Europe,38628,928,100,22,0.25,report south europe equipment st study mental cultural planning supplies,,,,,,,,
82,Websters New World dictionary of quotations,Quotations,38628,50,241,26,0.5,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
378,Petersons four year colleges,Universities and colleges United States Directories,38630,9936,93,20,0.571,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
378,4 year colleges,Universities and colleges United States Directories,38630,9936,93,20,0.667,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
623,Webley story a history of Webley pistols and revolvers and the development of the pistol cartridge,Pistols,38631,8,116,8,0.25,history seattle wash people sources building natural heritage historic community,,,,,,,,
979,Meet me at the Center the story of Seattle Center from the beginnings to the 1962 Seattle Worlds Fair to the 21st century,Seattle Center Seattle Wash,38632,60,202,8,0.357,history seattle wash people sources building natural heritage historic community,,,,,,,,
533,Handling the big jets the significant differences in flying qualities between jet transport aeroplanes and piston engined transport aeroplanes,Jet transports Piloting,38632,2,115,17,0.875,books encyclopedia international western laws society system transport general relations,,,,,,,,
973,American decades 1930 1939,United States Civilization 1918 1945,38633,336,107,12,0.667,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
378,How to find out about financial aid and funding,Scholarships United States Directories Bibliography,38635,42,83,37,0.333,history industry military food aircraft technology money events man franklin,,,,,,,,
979,Seattle now then,Seattle Wash Pictorial works,38635,1782,115,8,0.5,history seattle wash people sources building natural heritage historic community,,,,,,,,
370,Essential academic learning requirements technical manual reading writing communication mathematics science social studies arts health fitness,Education Curricula Washington State,38636,20,104,28,0.278,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
917,Seattle,Seattle Wash Guidebooks,38636,545,82,34,0.5,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
706,Artists graphic designers market,Art United States Marketing Directories,38636,741,89,35,0.286,design bible gold water railroad coins ages roads car model,,,,,,,,
323,testament of hope the essential writings of Martin Luther King Jr,United States Race relations,38637,90,92,26,0.182,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
582,Trees of Seattle the complete tree finders guide to the citys 740 varieties,Seattle Wash Guidebooks,38637,888,82,8,0.3,history seattle wash people sources building natural heritage historic community,,,,,,,,
683,Blue book of gun values,Firearms Collectors and collecting,38639,100,139,10,0.4,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
917,Climbers guide to the Olympic Mountains,Olympic Mountains Wash Guidebooks,38639,69,158,11,0.667,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
610,For the relief of the sick and disabled the U S Public Health Service Hospital at Boston 1799 1969,U S Public Health Service Hospital at Boston,38639,1,86,30,0.154,mass air human town de practice power anatomy cars spanish,,,,,,,,
979,Time of gathering native heritage in Washington State,Indians of North America Washington State Exhibitions,38639,170,114,29,0.455,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
553,Metal mines of Washington preliminary report,Mines and mineral resources Washington State,38640,28,232,31,0.75,washington state sound puget region resources mines plan high king,,,,,,,,
11,Great books about things kids love more than 750 recommended books for children 3 to 14,Best books,38640,148,108,17,0.286,books encyclopedia international western laws society system transport general relations,,,,,,,,
759,Kandinsky in Munich 1896 1914,Kandinsky Wassily 1866 1944 Exhibitions,38641,2,87,35,0.25,design bible gold water railroad coins ages roads car model,,,,,,,,
623,Gun digest,Firearms Periodicals,38642,504,113,27,0.5,history early making wine kentucky white italy study americas physics,,,,,,,,
299,Urantia book concordance,Urantia book Concordances,38642,5,150,16,0.5,great book medicine british birds catalogue lake medical wood exhibitions,,,,,,,,
509,Fads and fallacies in the name of science,Science Miscellanea,38643,15,86,1,0.5,science record genealogical statistics airplanes christian reading text chronology commercial,,,,,,,,
909,Africana the encyclopedia of the African and African American experience,Blacks Encyclopedias,38644,280,75,21,0.286,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
639,Fishermans knots and nets,Knots and splices,38644,42,127,5,0.667,years national complete france park french color furniture hundred mount,,,,,,,,
69,Little known museums in and around Paris,Paris France Guidebooks,38644,72,174,5,0.6,years national complete france park french color furniture hundred mount,,,,,,,,
391,Paris fashions of the 1890s a picture source book with 350 designs including 24 in full color,Fashion France Paris History 19th century Pictorial works,38646,26,244,21,0.214,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
358,McDonnell F 101 Voodoo,Voodoo Jet fighter plane,38646,10,73,4,0.8,york architecture army city year construction planes philosophy henry fighter,,,,,,,,
797,speed seekers,Air pilots Biography,38646,2,100,12,0.5,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
914,near East Dalmatia Greece and Constantinople,Greece Description and travel,38646,32,77,26,0.5,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
746,Couture the great designers,Fashion History 20th century,38649,189,92,23,0.4,history england britain union costume ireland fashion london germany soviet,,,,,,,,
378,Barrons profiles of American colleges,Universities and colleges United States Directories,38649,1092,78,20,0.571,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
224,spaceships of Ezekiel,Space vehicles,38649,60,98,30,0.667,mass air human town de practice power anatomy cars spanish,,,,,,,,
385,Orphan road the railroad comes to Seattle 1853 1911,Puget Sound Region Wash History,38649,425,73,31,0.429,washington state sound puget region resources mines plan high king,,,,,,,,
641,African cookbook,Cookery African,38649,1,102,21,0.5,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
